Device_Name,IP_Address,Frequency,,,,,,
4034 Delaware Town C5 .56,10.4.34.56,5325,,,,,,
4034 Delaware Town C5 .55,10.4.34.55,5300,,,,,,
4034 Delaware Town C5 .54,10.4.34.54,5275,,,,,,
4034 Delaware Town C5 .53,10.4.34.53,5325,,,,,,
4034 Delaware Town C5 .52,10.4.34.52,5300,,,,,,
4034 Delaware Town C5 .51,10.4.34.51,5275,,,,,,
4033 Aurora C9 .95,10.4.33.95,915,,,,,,
4033 Aurora C9 .94,10.4.33.94,906,,,,,,
4033 Aurora C9 .93,10.4.33.93,915,,,,,,
4033 Aurora C9 .90,10.4.33.90,924,,,,,,
4033 Aurora C5 .56,10.4.33.56,5275,,,,,,
4033 Aurora C5 .50,10.4.33.50,5300,,,,,,
4033 Aurora PBEM2 .26,10.4.33.26,2419,,,,,,
4031 Island Green NSM5 .52,10.4.31.52,5160,,,,,,
4031 Island Green C5 .50,10.4.31.50,5325,,,,,,
4028 Stonegate C9 .91,10.4.28.91,None,,,,,,
4028 Stonegate RM2 .20,10.4.28.20,2462,,,,,,
4247 Nixa Office C9 .94,10.4.247.94,924,,,,,,
4247 Nixa Office NSM5 .52,10.4.247.52,5165,,,,,,
4021 SW CU C9 .93,10.4.21.93,None,,,,,,
4021 SW CU C9 .91,10.4.21.91,924,,,,,,
4021 SW CU C9 .90,10.4.21.90,906,,,,,,
4021 SW CU C5 .57,10.4.21.57,5325,,,,,,
4021 SW CU PBEM5 .56,10.4.21.56,5660,,,,,,
4021 SW CU RM5 .55,10.4.21.55,5235,,,,,,
4021 SW CU PBEM5 .54,10.4.21.54,5240,,,,,,
4021 SW CU RM5 .53,10.4.21.53,5185,,,,,,
4021 SW CU RM5 .51,10.4.21.51,5160,,,,,,
4021 SW CU C5 .50,10.4.21.50,5275,,,,,,
4021 SW CU RM2 .21,10.4.21.21,2452,,,,,,
4021 SW CU PBEM5 .102,10.4.21.102,5210,,,,,,
4021 SW CU PBEM5 .101,10.4.21.101,5210,,,,,,
4002 Garner Garner Relay C9 450i SE 157 Degrees,10.4.2.93,None,,,,,,
4181 Gugel RM5 .50,10.4.181.50,5300,,,,,,
4176 Dam C9 .96,10.4.176.96,916,,,,,,
4176 Dam C9 .95,10.4.176.95,924,,,,,,
4176 Dam C9 .92,10.4.176.92,None,,,,,,
4176 Dam C9 .91,10.4.176.91,910,,,,,,
4176 Dam PBEM5 .53,10.4.176.53,5190,,,,,,
4176 Dam RM365 .30,10.4.176.30,3661,,,,,,
4175 Turkey C9+ .94,10.4.175.94,924.5,,,,,,
4175 Turkey C9+ .93,10.4.175.93,905.5,,,,,,
4175 Turkey C9+ .92,10.4.175.92,924.5,,,,,,
4175 Turkey C9+ .91,10.4.175.91,905.5,,,,,,
4175 Turkey RM5 .53,10.4.175.53,5240,,,,,,
4175 Turkey RM5 .52,10.4.175.52,5200,,,,,,
4175 Turkey RM5 .51,10.4.175.51,5160,,,,,,
4175 Turkey CE2 .24,10.4.175.24,2412,,,,,,
4175 Turkey CE2 .23,10.4.175.23,2457,,,,,,
4175 Turkey CE2 .22,10.4.175.22,2412,,,,,,
4175 Turkey CE2 .21,10.4.175.21,2457,,,,,,
4173 McCord Bend C9+ .93,10.4.173.93,907,,,,,,
4173 McCord Bend C9+ .91,10.4.173.91,923,,,,,,
4173 McCord Bend RM2 .20,10.4.173.20,2412,,,,,,
4172 Exeter C9 .90,10.4.172.90,907,,,,,,
4172 Exeter RM2 .20,10.4.172.20,2452,,,,,,
4171 Fairview C9 .95,10.4.171.95,924,,,,,,
4171 Fairview C9 .93,10.4.171.93,915,,,,,,
4171 Fairview C9 .91,10.4.171.91,906,,,,,,
4171 Fairview RM365 .30,10.4.171.30,3666,,,,,,
4169 TT39 C9+ .94,10.4.169.94,923,,,,,,
4169 TT39 C9+ .93,10.4.169.93,905.5,,,,,,
4169 TT39 C9+ .92,10.4.169.92,923,,,,,,
4169 TT39 C9+ .91,10.4.169.91,913,,,,,,
4169 TT39 RM5 .50,10.4.169.50,5200,,,,,,
4166 Jamesville NSM5 .59,10.4.166.59,5155,,,,,,
4166 Jamesville RM2 .20,10.4.166.20,2437,,,,,,
4165 Hurley C9+ .94,10.4.165.94,918,,,,,,
4165 Hurley C9+ .93,10.4.165.93,907,,,,,,
4165 Hurley C9+ .92,10.4.165.92,918,,,,,,
4165 Hurley C9+ .91,10.4.165.91,907,,,,,,
4165 Hurley CE2 .24,10.4.165.24,2462,,,,,,
4165 Hurley CE2 .23,10.4.165.23,2412,,,,,,
